Day,Meal,Food,Category,Taste,Hygiene,Variety,Overall
Monday,Breakfast,Idli,Veg,3,2,2,2
Monday,Breakfast,Idli,Veg,4,2,3,3
Monday,Breakfast,Idli,Veg,4,3,4,4
Monday,Breakfast,Idli,Veg,4,4,4,4
Monday,Breakfast,Idli,Veg,4,2,2,3
Monday,Breakfast,Idli,Veg,4,3,5,4
Monday,Breakfast,Idli,Veg,3,3,5,4
Monday,Breakfast,Idli,Veg,3,3,5,4
Monday,Breakfast,Idli,Veg,4,2,4,3
Monday,Breakfast,Idli,Veg,3,2,4,3
Monday,Breakfast,Idli,Veg,5,4,3,4
Monday,Breakfast,Idli,Veg,4,4,5,4
Monday,Breakfast,Idli,Veg,5,2,2,3
Monday,Breakfast,Idli,Veg,3,2,4,3
Monday,Breakfast,Idli,Veg,4,4,2,3
Monday,Lunch,Aloo Mutter,Veg,4,3,4,4
Monday,Lunch,Aloo Mutter,Veg,5,3,5,4
Monday,Lunch,Aloo Mutter,Veg,4,3,5,4
Monday,Lunch,Aloo Mutter,Veg,5,4,3,4
Monday,Lunch,Aloo Mutter,Veg,3,4,2,3
Monday,Lunch,Aloo Mutter,Veg,3,2,5,3
Monday,Lunch,Aloo Mutter,Veg,4,4,5,4
Monday,Lunch,Aloo Mutter,Veg,3,5,4,4
Monday,Lunch,Aloo Mutter,Veg,3,3,5,4
Monday,Lunch,Aloo Mutter,Veg,4,4,5,4
Monday,Lunch,Aloo Mutter,Veg,4,2,4,3
Monday,Lunch,Aloo Mutter,Veg,5,3,4,4
Monday,Lunch,Aloo Mutter,Veg,5,3,2,3
Monday,Lunch,Aloo Mutter,Veg,3,5,2,3
Monday,Lunch,Aloo Mutter,Veg,5,4,3,4
Monday,Dinner,Kadhai Mix Veg,Veg,3,3,4,3
Monday,Dinner,Kadhai Mix Veg,Veg,3,2,3,3
Monday,Dinner,Kadhai Mix Veg,Veg,2,2,3,2
Monday,Dinner,Kadhai Mix Veg,Veg,2,3,4,3
Monday,Dinner,Kadhai Mix Veg,Veg,3,5,2,3
Monday,Dinner,Kadhai Mix Veg,Veg,4,2,5,4
Monday,Dinner,Kadhai Mix Veg,Veg,3,4,2,3
Monday,Dinner,Kadhai Mix Veg,Veg,2,3,3,3
Monday,Dinner,Kadhai Mix Veg,Veg,3,2,5,3
Monday,Dinner,Kadhai Mix Veg,Veg,2,3,2,2
Monday,Dinner,Kadhai Mix Veg,Veg,2,4,4,3
Monday,Dinner,Kadhai Mix Veg,Veg,2,2,4,3
Monday,Dinner,Kadhai Mix Veg,Veg,3,2,2,2
Monday,Dinner,Kadhai Mix Veg,Veg,2,3,3,3
Monday,Dinner,Kadhai Mix Veg,Veg,4,4,5,4
Tuesday,Breakfast,Poha,Veg,5,5,3,4
Tuesday,Breakfast,Poha,Veg,3,3,2,3
Tuesday,Breakfast,Poha,Veg,4,3,5,4
Tuesday,Breakfast,Poha,Veg,4,3,2,3
